Albania,Tirana
Andorra,Andorra la Vella
Austria,Vienna
Belarus,Minsk
Belgium,Brussels
Bosnia and Herzegovina,Sarajevo
Bulgaria,Sofia
Croatia,Zagreb
Cyprus,Nicosia
Czech Republic,Prague
Denmark,Copenhagen
England,London
Estonia,Tallinn
Finland,Helsinki
France,Paris
Georgia,Tbilisi
Germany,Berlin
Greece,Athens
Hungary,Budapest
Iceland,Reykjavik
Ireland,Dublin
Italy,Rome
Latvia,Riga
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macedonia,Skopje
Malta,Valletta
Moldova,Chisinau
Monaco,Monaco
Montenegro,Podgorica
The Netherlands,Amsterdam
Northern Ireland,Belfast
Norway,Oslo
Poland,Warsaw
Portugal,Lisbon
Romania,Bucharest
Russian Federation,Moscow
San Marino,San Marino
Denmark,Copenhagen
Scotland,Edinburgh
Slovakia,Bratislava
Slovenia,Ljubljana
Spain,Madrid
Sweden,Stockholm
Switzerland,Bern
Ukraine,Kiev
Wales,Cardiff
