Antigua and Barbuda,St. John's
Bahamas,Nassau
Barbados,Bridgetown
Belize,Belmopan
Canada,Ottawa - Ontario
Costa Rica,San Jose
Cuba,Havana
Dominica,Roseau
Dominican Republic,Santo Domingo
El Salvador,San Salvador
Greenland,Nuuk
Grenada,St. George's
Guatemala,Guatemala City
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Jamaica,Kingston
Mexico,Mexico City
Nicaragua,Managua
Panama,Panama City
St. Kitts and Nevis,Basseterre
St. Lucia,Castries
St. Vincent and The Grenadines,Kingstown
Trinidad and Tobago,Port-of-Spain
United States,Washington D.C.
